StartTime;EndTime;Activity
28/11/2011 02:27;28/11/2011 10:18;Sleeping
28/11/2011 10:21;28/11/2011 10:23;Toileting
28/11/2011 10:25;28/11/2011 10:33;Showering
28/11/2011 10:34;28/11/2011 10:43;Breakfast
28/11/2011 10:49;28/11/2011 10:51;Grooming
28/11/2011 10:51;28/11/2011 13:05;Spare_Time/TV
28/11/2011 13:06;28/11/2011 13:06;Toileting
28/11/2011 13:09;28/11/2011 13:29;Leaving
28/11/2011 13:38;28/11/2011 14:21;Spare_Time/TV
28/11/2011 14:22;28/11/2011 14:27;Toileting
28/11/2011 14:27;28/11/2011 15:04;Lunch
28/11/2011 15:04;28/11/2011 15:06;Grooming
28/11/2011 15:07;28/11/2011 20:20;Spare_Time/TV
28/11/2011 20:20;28/11/2011 20:20;Snack
28/11/2011 20:21;29/11/2011 02:06;Spare_Time/TV
29/11/2011 02:16;29/11/2011 11:31;Sleeping
29/11/2011 11:31;29/11/2011 11:36;Toileting
29/11/2011 11:37;29/11/2011 11:48;Grooming
29/11/2011 11:49;29/11/2011 11:51;Showering
29/11/2011 12:08;29/11/2011 12:18;Breakfast
29/11/2011 12:19;29/11/2011 12:22;Grooming
29/11/2011 12:22;29/11/2011 12:24;Spare_Time/TV
29/11/2011 13:25;29/11/2011 13:25;Snack
29/11/2011 13:25;29/11/2011 15:12;Spare_Time/TV
29/11/2011 15:13;29/11/2011 15:13;Toileting
29/11/2011 15:14;29/11/2011 15:45;Lunch
29/11/2011 15:49;29/11/2011 15:50;Grooming
29/11/2011 15:52;29/11/2011 16:17;Spare_Time/TV
29/11/2011 16:18;29/11/2011 16:31;Toileting
29/11/2011 16:34;29/11/2011 17:08;Spare_Time/TV
29/11/2011 17:08;29/11/2011 17:09;Toileting
29/11/2011 17:43;29/11/2011 18:57;Spare_Time/TV
29/11/2011 19:02;29/11/2011 20:23;Leaving
29/11/2011 20:28;30/11/2011 01:19;Spare_Time/TV
30/11/2011 01:22;30/11/2011 10:07;Sleeping
30/11/2011 10:11;30/11/2011 10:13;Toileting
30/11/2011 10:14;30/11/2011 10:18;Showering
30/11/2011 10:22;30/11/2011 10:35;Breakfast
30/11/2011 10:39;30/11/2011 10:41;Grooming
30/11/2011 10:41;30/11/2011 13:04;Spare_Time/TV
30/11/2011 13:05;30/11/2011 13:05;Snack
30/11/2011 13:05;30/11/2011 14:09;Spare_Time/TV
30/11/2011 14:11;30/11/2011 14:11;Toileting
30/11/2011 14:13;30/11/2011 14:34;Spare_Time/TV
30/11/2011 14:39;30/11/2011 15:00;Lunch
30/11/2011 15:11;30/11/2011 16:39;Spare_Time/TV
30/11/2011 16:40;30/11/2011 16:40;Toileting
30/11/2011 16:41;30/11/2011 16:41;Snack
30/11/2011 16:41;30/11/2011 18:00;Spare_Time/TV
30/11/2011 18:01;30/11/2011 18:01;Toileting
30/11/2011 18:01;30/11/2011 18:43;Spare_Time/TV
30/11/2011 18:57;30/11/2011 18:57;Toileting
30/11/2011 18:57;30/11/2011 19:37;Spare_Time/TV
30/11/2011 19:37;30/11/2011 19:38;Toileting
30/11/2011 19:46;30/11/2011 20:05;Leaving
30/11/2011 20:13;30/11/2011 20:13;Grooming
30/11/2011 20:14;01/12/2011 01:34;Spare_Time/TV
01/12/2011 01:37;01/12/2011 10:50;Sleeping
01/12/2011 10:55;01/12/2011 10:55;Grooming
01/12/2011 10:58;01/12/2011 11:12;Showering
01/12/2011 11:17;01/12/2011 11:29;Breakfast
01/12/2011 11:30;01/12/2011 14:29;Spare_Time/TV
01/12/2011 14:29;01/12/2011 14:55;Lunch
01/12/2011 15:09;01/12/2011 16:26;Spare_Time/TV
01/12/2011 16:26;01/12/2011 16:27;Toileting
01/12/2011 16:27;01/12/2011 16:46;Spare_Time/TV
01/12/2011 17:17;01/12/2011 17:27;Grooming
01/12/2011 17:29;01/12/2011 18:49;Leaving
01/12/2011 18:55;01/12/2011 19:10;Spare_Time/TV
01/12/2011 19:28;01/12/2011 16:29;Toileting
01/12/2011 19:30;01/12/2011 23:52;Spare_Time/TV
01/12/2011 23:53;01/12/2011 23:53;Grooming
01/12/2011 23:54;02/12/2011 01:18;Spare_Time/TV
02/12/2011 01:18;02/12/2011 01:18;Grooming
02/12/2011 01:19;02/12/2011 02:08;Spare_Time/TV
02/12/2011 02:09;02/12/2011 02:13;Grooming
02/12/2011 02:15;02/12/2011 12:15;Sleeping
02/12/2011 12:16;02/12/2011 12:20;Toileting
02/12/2011 12:20;01/12/2011 10:20;Grooming
02/12/2011 12:21;02/12/2011 12:25;Showering
02/12/2011 12:27;01/12/2011 11:35;Breakfast
02/12/2011 12:37;02/12/2011 14:46;Spare_Time/TV
02/12/2011 14:47;02/12/2011 15:20;Lunch
02/12/2011 15:24;02/12/2011 15:55;Spare_Time/TV
02/12/2011 15:56;02/12/2011 15:57;Grooming
02/12/2011 15:58;02/12/2011 16:36;Spare_Time/TV
02/12/2011 16:37;02/12/2011 16:47;Toileting
02/12/2011 16:47;02/12/2011 19:39;Spare_Time/TV
02/12/2011 19:40;02/12/2011 19:40;Snack
02/12/2011 19:41;02/12/2011 21:26;Spare_Time/TV
02/12/2011 21:27;02/12/2011 21:44;Toileting
02/12/2011 21:46;03/12/2011 01:41;Spare_Time/TV
03/12/2011 01:47;03/12/2011 11:56;Sleeping
03/12/2011 11:57;03/12/2011 11:59;Toileting
03/12/2011 11:59;03/12/2011 12:01;Grooming
03/12/2011 12:03;03/12/2011 12:07;Showering
03/12/2011 12:10;03/12/2011 12:19;Breakfast
03/12/2011 12:21;03/12/2011 13:28;Spare_Time/TV
03/12/2011 13:29;03/12/2011 13:29;Grooming
03/12/2011 13:29;03/12/2011 14:01;Spare_Time/TV
03/12/2011 14:11;03/12/2011 14:14;Grooming
03/12/2011 14:18;03/12/2011 17:48;Leaving
03/12/2011 17:50;03/12/2011 23:53;Spare_Time/TV
03/12/2011 23:54;03/12/2011 23:54;Toileting
03/12/2011 23:55;04/12/2011 03:16;Spare_Time/TV
04/12/2011 03:19;04/12/2011 12:37;Sleeping
04/12/2011 12:39;04/12/2011 12:45;Toileting
04/12/2011 12:46;04/12/2011 12:47;Grooming
04/12/2011 12:50;04/12/2011 12:54;Showering
04/12/2011 12:56;04/12/2011 12:59;Breakfast
04/12/2011 13:00;04/12/2011 13:58;Spare_Time/TV
04/12/2011 14:00;04/12/2011 14:03;Toileting
04/12/2011 14:11;04/12/2011 16:31;Leaving
04/12/2011 16:34;04/12/2011 17:25;Spare_Time/TV
04/12/2011 17:27;04/12/2011 17:27;Snack
04/12/2011 17:27;04/12/2011 17:43;Spare_Time/TV
04/12/2011 17:45;04/12/2011 17:45;Grooming
